Epochs,1,2,3,4,5,6,7
1,2.70006095473,2.69041538741,2.68144599497,2.68249656973,2.6810809667,2.68876916841,2.68127508502
2,2.62404011811,2.62038571762,2.61585973659,2.60963983164,2.60885239038,2.61006582243,2.59847881442
3,2.59955799384,2.59451753406,2.58673825259,2.58135591285,2.57577963344,2.57321218244,2.55731357303
4,2.5826268309,2.57150375078,2.55900216631,2.55008463698,2.54228791253,2.53472786325,2.51318648291
5,2.56513491615,2.55136925666,2.53355630109,2.51947436615,2.50257024218,2.49812347255,2.46680459325
6,2.54704292268,2.51887828796,2.50192939741,2.4759716136,2.4525526762,2.45134152652,2.41471624935
7,2.52445650448,2.48597472412,2.4566397929,2.42363619923,2.39336627038,2.3899117248,2.34494258563
8,2.49992310979,2.43778405759,2.40024650453,2.35538455224,2.31316201413,2.3124819286,2.26018818636
9,2.46638735483,2.37872377291,2.33297992787,2.26180707336,2.2183875764,2.21526723902,2.15866042512
10,2.42516884257,2.31094736947,2.24607859329,2.16671300479,2.11698008952,2.11428191906,2.05545686425
11,2.38309822274,2.23747516628,2.15208516976,2.07212746789,2.01440291717,2.0162137146,1.95461773586
12,2.33475112872,2.16394658614,2.0630786074,1.98025961664,1.90809955558,1.93380621682,1.85659742486
13,2.27991684365,2.08833341074,1.97714330927,1.8907923484,1.82554627247,1.83446819848,1.76961505439
14,2.23042715638,2.01752394184,1.90069079445,1.80670553846,1.74371596829,1.76280275367,1.69169630509
15,2.1814183824,1.95116782747,1.82745489527,1.73715857606,1.67438650327,1.69289110326,1.63156520773
16,2.13460650296,1.88370948759,1.75707520215,1.67220612705,1.61431319792,1.63513735525,1.57906917601
17,2.07998387106,1.82666094152,1.69695478465,1.61912050297,1.56362346743,1.58034106652,1.52894175222
18,2.03944293245,1.77178028345,1.64876683147,1.56685017077,1.52600194392,1.54113135361,1.49070751667
19,1.99660531224,1.71919863464,1.59619833188,1.52727858687,1.48590512549,1.50262553159,1.4534972811
20,1.94855921125,1.67489143177,1.55655313343,1.49218464146,1.45731398512,1.46913935235,1.42790224669
21,1.91160297763,1.63410762462,1.52114759335,1.46131692564,1.42626783887,1.44987903497,1.404497628
22,1.87120504457,1.5980034013,1.48561225873,1.43280578749,1.40331814328,1.41916724994,1.38653551151
23,1.83680992743,1.56359863968,1.46252117173,1.41356362203,1.38614381923,1.39961750844,1.37018134776
24,1.79849793438,1.53210818153,1.43492472873,1.39385249214,1.36972622012,1.38415252835,1.3573137282
25,1.76886151788,1.50745853501,1.41486828525,1.37703234321,1.35697418158,1.36918005141,1.34357012556
26,1.73852236327,1.4867451201,1.39683078283,1.36012197068,1.34260181325,1.35524079208,1.33123288272
27,1.71725653538,1.46056407263,1.37936807506,1.34708176616,1.33409405829,1.34494236006,1.32303591869
28,1.69069695646,1.43914704881,1.36852478797,1.33521555368,1.3223314168,1.33452193678,1.31479072545
29,1.66547971779,1.42423909866,1.35524520902,1.32338396531,1.31336230919,1.32363384808,1.30930871286
30,1.63859379856,1.41065833401,1.34375879068,1.31484871756,1.30501842206,1.31860695813,1.30158843747
31,1.61852523581,1.39409246143,1.33465796795,1.30916969052,1.29969643569,1.30937259775,1.29462835711
32,1.59802501493,1.3831023099,1.32544008619,1.30072513695,1.29381635052,1.30329928541,1.28881475509
33,1.57919069044,1.36796767109,1.3148646457,1.29467717493,1.28830862632,1.2954214307,1.28503568355
34,1.56585012933,1.36154918051,1.30823741941,1.28777100527,1.28289548491,1.29144730302,1.27972481655
35,1.54246620142,1.34894887167,1.29847967326,1.28316315945,1.27841503796,1.2866243965,1.27441155064
36,1.53028274646,1.34005312121,1.29448738002,1.27712338254,1.2735590495,1.28367618529,1.27154703968
37,1.51566016109,1.33230050794,1.28737331816,1.2730282991,1.26944654398,1.27858774798,1.26921359998
38,1.50181607275,1.32239567664,1.28230912476,1.26878756371,1.26748990133,1.27509574178,1.2664580065
39,1.48307010472,1.31833488472,1.27827489905,1.26595184741,1.26349123677,1.27272808842,1.26337396903
40,1.47144429019,1.30976770427,1.27591490838,1.26460281315,1.25940465732,1.26772229165,1.26070334097
41,1.46391768707,1.30814006329,1.27157956092,1.26000116965,1.25684080456,1.26755863469,1.25772823454
42,1.45276707704,1.30096707082,1.26713977083,1.2563204307,1.2560537604,1.26432368479,1.25593455203
43,1.43991640096,1.2988741045,1.2645179431,1.25406246433,1.25363916354,1.26220068737,1.25380789309
44,1.43272016261,1.29324858646,1.2632684418,1.25125050041,1.25087468057,1.26010861049,1.25233725915
45,1.42171037371,1.28963468544,1.2586519609,1.24808157977,1.24966217064,1.25814754088,1.25119663555
46,1.41389428353,1.28591428361,1.25575992284,1.24384482435,1.24711789166,1.25169254087,1.25132057048
47,1.40371164294,1.28357571846,1.25410463219,1.24265543732,1.24740518801,1.25144475046,1.24684174582
48,1.39778138597,1.27936049864,1.25191344233,1.24288037613,1.2426424476,1.25169517564,1.24608789194
49,1.39740830258,1.27540539444,1.24735641169,1.24136445715,1.24105734122,1.24730647893,1.24555752981
50,1.38418397031,1.27426656638,1.24737555116,1.23940123176,1.23956792667,1.24764611297,1.24441018548
51,1.37939939212,1.26852445061,1.24400020968,1.23845345792,1.23855874089,1.24592383229,1.24215976306
52,1.37371412609,1.26540416912,1.24056412732,1.2364245739,1.2363656085,1.24468169359,1.24270013571
53,1.36642598715,1.2632238029,1.24209806153,1.23515027119,1.23529075111,1.24113544752,1.24098837421
54,1.36078275444,1.25986010436,1.23949127751,1.23316792446,1.23498766149,1.24120116889,1.23914650457
55,1.35808632934,1.26118327968,1.23609706889,1.23330170659,1.23352627187,1.24098058333,1.23667982967
56,1.35336414365,1.25807394496,1.23456093327,1.23024763536,1.23263434992,1.23902829827,1.23570935153
57,1.34648954564,1.256510025,1.23338319929,1.2291173977,1.23080330208,1.23872454169,1.23542376086
58,1.34248487589,1.25386029529,1.23237858478,1.22982707811,1.22960693035,1.23761842908,1.23213587993
59,1.33672322558,1.25171311225,1.23189676567,1.22655873706,1.22960016962,1.23599426356,1.23208537154
60,1.33230922131,1.25234081499,1.22868231982,1.2256727279,1.22719021606,1.23475537005,1.23104251799
61,1.33219433526,1.24923534555,1.22797677303,1.22388537494,1.22508115065,1.23453692108,1.22923376873
62,1.32687117363,1.24659089651,1.22782913342,1.22327681208,1.22495600239,1.23338868333,1.22827762645
63,1.32206774822,1.24406042222,1.22677904695,1.22233885488,1.22430367157,1.2317152052,1.22719820464
64,1.31868438208,1.24434552126,1.22527324671,1.22250495245,1.22221232926,1.23446746613,1.22863618898
65,1.31079785246,1.24416992486,1.2239282153,1.22007691825,1.22213268573,1.23216166993,1.22561362389
66,1.31273813109,1.2408513125,1.2234272635,1.21922965619,1.22265840261,1.22817912628,1.22442687352
67,1.30869078354,1.23948708692,1.22198200329,1.21723105703,1.22071155759,1.22831414879,1.22353829829
68,1.30388971561,1.23841885677,1.22123817974,1.217400416,1.21905236166,1.22810641982,1.22219367535
69,1.30115361813,1.2353663186,1.21992655568,1.21687559849,1.21833990441,1.22674281007,1.2200916885
70,1.30251406972,1.23707891047,1.21797797857,1.21615097905,1.21910933198,1.22516293862,1.21845216686
71,1.29662931769,1.23500993492,1.21704259799,1.21446399078,1.21735075849,1.22442856748,1.21918253938
72,1.29506078357,1.23437297322,1.2164499424,1.21415867535,1.21687216739,1.22374438294,1.21724451813
73,1.29413760078,1.23428552793,1.21523923228,1.21166077379,1.21450202191,1.22239557566,1.21663795742
74,1.29162468415,1.23388154015,1.2151251099,1.21229781364,1.21440545164,1.22194128731,1.21729923871
