Epochs,1,2,3,4,5
1,2.75646691603,2.7191543553,2.70794272814,2.70068001931,2.68913679838
2,2.63955043331,2.63838067602,2.63865207397,2.6420263152,2.63968992778
3,2.62398876339,2.62702369429,2.62904019925,2.63104452186,2.63226262598
4,2.61214715124,2.62001180475,2.6217522591,2.62447337106,2.62205717141
5,2.60496359131,2.61183714042,2.61507198526,2.6155852545,2.60941104894
6,2.59805094039,2.60285625823,2.60694232825,2.60534998398,2.59636690814
7,2.59417337562,2.59182081848,2.59398906069,2.59339205094,2.58362957547
8,2.58754001279,2.57797535434,2.57704849243,2.57499279236,2.56308966967
9,2.58001846564,2.557554843,2.55874896049,2.55147625326,2.53683234955
10,2.5726879224,2.54443391642,2.53864460561,2.53097821592,2.51233280019
11,2.56646915817,2.52128898077,2.50575521914,2.49932346073,2.47548049431
12,2.55914961505,2.49483161589,2.47674167832,2.4679274267,2.44710082719
13,2.55419869976,2.47447522872,2.44309105326,2.43338597131,2.40780314319
14,2.54899451201,2.44704364558,2.41603039668,2.3928458132,2.37025875508
15,2.53831538153,2.41804173562,2.38581489378,2.36644337745,2.33593183871
16,2.53331866812,2.39502411071,2.35963158429,2.32786813169,2.29450498075
17,2.52349476208,2.36993997431,2.32176907973,2.29764202108,2.26150664227
18,2.51581011771,2.35116983676,2.29781516386,2.26621464202,2.22919398946
19,2.51281110829,2.32418797446,2.26427354634,2.23225640883,2.20468558883
20,2.50278584652,2.30293380411,2.24067436124,2.20237825876,2.16654444404
21,2.49658110261,2.27849465337,2.21567893374,2.1769388529,2.14506703885
22,2.48519730378,2.2619035257,2.18922675633,2.15071386955,2.11484258819
23,2.48133588545,2.24565033465,2.16357193328,2.12620200623,2.08437691325
24,2.47436298487,2.22772270908,2.15810122194,2.10127527367,2.07410910766
25,2.46331611068,2.20883186615,2.1271885194,2.07800054987,2.0390535808
26,2.46304399575,2.19358230245,2.11216380518,2.05383218507,2.01291494149
27,2.45521200955,2.16985290971,2.08888354636,2.02921370324,1.99748107076
28,2.4480153964,2.15205770156,2.0688524096,2.01461073713,1.97262864011
29,2.43925370365,2.13506908712,2.04713840998,1.99800564721,1.96591660672
30,2.43170499907,2.12106675898,2.02742956349,1.97218014557,1.94072078095
31,2.42784926043,2.10467249796,2.02343897418,1.9613335889,1.92076952168
32,2.42362378644,2.09743994181,1.99666451648,1.94275549431,1.90351874196
33,2.41965406512,2.08664356294,1.98637957874,1.92941615954,1.88259726298
34,2.40780353293,2.06957328602,1.97185942384,1.91304987847,1.87047072441
35,2.40648370038,2.05404288608,1.96118373592,1.89494430823,1.85905051391
36,2.39519656534,2.03719965487,1.94877392425,1.88128501286,1.83809605778
37,2.3927127059,2.03220435353,1.92880431629,1.8686493588,1.82619555412
38,2.39048384342,2.01727315594,1.91623825731,1.85392686509,1.81895715617
39,2.3764846514,2.0044822428,1.90407179156,1.8421185173,1.80100716297
40,2.36836875378,1.9999326752,1.89095298546,1.83384174298,1.79354141964
41,2.37150339949,1.97739860269,1.88222886215,1.81451338328,1.78141964767
42,2.3639277383,1.97370648949,1.86520772081,1.79676339367,1.77059532183
43,2.35778122388,1.96242785693,1.85842665431,1.79453454356,1.7659224106
44,2.35286335302,1.95272383273,1.84526111125,1.78651595357,1.74965003694
45,2.34766215427,1.94069432908,1.84389199725,1.7695437287,1.73399375555
46,2.34178030697,1.93268653778,1.82745303644,1.77370662928,1.72843312862
47,2.34288453126,1.92111404237,1.81113128802,1.75816507992,1.72043084861
48,2.33780414275,1.91126827898,1.80592935069,1.74538044173,1.71535610643
49,2.32687894053,1.90578365326,1.79775326352,1.7381213485,1.70274341296
50,2.31516469703,1.89713191291,1.79123141754,1.72477051377,1.69173526746
51,2.31287958181,1.8826310867,1.77691189539,1.71833018615,1.68857360484
52,2.31501641293,1.87831397178,1.7745032669,1.71257268601,1.67862663735
53,2.30209779919,1.87429518582,1.76015193099,1.7050050243,1.66423850277
54,2.29745354217,1.8607032755,1.75586696994,1.69178375237,1.66447348785
55,2.29693048498,1.85364487045,1.74799165715,1.68350542948,1.65796724073
56,2.29182772115,1.843405691,1.74219016247,1.68106029475,1.6588619248
57,2.28798726031,1.84242350352,1.73084297571,1.6679838559,1.64060257148
58,2.2803175948,1.83092635012,1.72619880295,1.66636634195,1.636388931
59,2.279071099,1.82621183508,1.72568830137,1.65887122329,1.62940637975
60,2.27431062169,1.82030391823,1.71364217017,1.65431161488,1.62408898555
61,2.27539930156,1.81120533717,1.70175959807,1.64883352004,1.62082254893
62,2.26169213179,1.79991127863,1.69459505064,1.64252684121,1.60942033779
63,2.26510670009,1.79547374626,1.69221842791,1.62801956659,1.6132604958
64,2.25830375837,1.7868227811,1.68310061657,1.62799418306,1.6011717069
65,2.24840210611,1.78531228302,1.67764564621,1.62172478006,1.60290319293
66,2.24475055418,1.77706727521,1.66715175642,1.61341008593,1.59077428901
67,2.24787775457,1.77689751424,1.66397109897,1.60899716989,1.59028740647
68,2.24404210573,1.76685421172,1.65508323146,1.60345802772,1.58080584921
69,2.23364656469,1.76478787936,1.65495404678,1.59683525367,1.57547478059
70,2.23436382581,1.74813207642,1.64187201348,1.59685157143,1.56852006083
71,2.22857931794,1.7476566954,1.64344704715,1.58712452575,1.57160555843
72,2.21897369626,1.74635117758,1.64673381673,1.58613936777,1.56165828903
73,2.22328507018,1.73114532395,1.63231808302,1.58347168872,1.56206578558
74,2.21115737084,1.73707669311,1.63543825295,1.57513728413,1.56410940808
75,2.20986129649,1.72828346784,1.62401758067,1.57637878841,1.5468996601
76,2.21383396233,1.71894832626,1.62781469749,1.57078114264,1.54877983345
77,2.20637599166,1.71742477899,1.62481704417,1.56980270038,1.54709353437
78,2.19647522674,1.71088752851,1.60714567372,1.56400796946,1.54018437566
79,2.19914925685,1.70615914611,1.6148252567,1.5592263053,1.53980560742
80,2.19775481693,1.70626423919,1.60210466106,1.5597715333,1.53082031796
81,2.1940384528,1.69756296771,1.59357148702,1.55213437913,1.52604979114
82,2.18523200159,1.69205306897,1.59532094365,1.55132058214,1.5267753411
83,2.18742855893,1.69070790504,1.59216306014,1.5387195043,1.52773908188
84,2.18891951644,1.68819108665,1.58631067198,1.54143875544,1.51989347675
85,2.1706047168,1.68830197366,1.58523156822,1.53506539827,1.52089121374
86,2.17620652547,1.67566987986,1.58480631981,1.53371137168,1.51364515779
87,2.16788436947,1.67487166228,1.57965599379,1.53342369621,1.51340005976
88,2.17006520117,1.66930850825,1.57060773579,1.52589220814,1.51085084502
89,2.16222934676,1.66326562303,1.57083241778,1.52249773995,1.50913747329
90,2.16545799141,1.66958745277,1.56394429966,1.52146813598,1.51240364385
91,2.15768611769,1.65796515351,1.56668284559,1.51809725168,1.50183353274
92,2.15477705688,1.65640476319,1.55554980528,1.51940853088,1.49174509218
93,2.15545735699,1.64970413844,1.55213864073,1.5110342944,1.49643004456
94,2.14520482263,1.64881524449,1.55449149017,1.505798441,1.49139261642
95,2.13011769959,1.63877186271,1.55237803526,1.50795272634,1.49514287121
96,2.13122239586,1.64173290551,1.54546298512,1.50180157102,1.48873938048
97,2.13799550864,1.63000329422,1.54009394238,1.49957025407,1.48582141588
98,2.13843329712,1.62777105099,1.55377873933,1.49705858366,1.48280966134
99,2.12941557525,1.63074417996,1.53751516984,1.49457536208,1.47749445981
100,2.12672888308,1.62924586228,1.534855127,1.49370048499,1.47517274069
