Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2.73935902789,2.70519499787,2.7042752707,2.69830240233,2.69002420098,2.69507218971,2.70420564066,2.69504599415,2.70684015596,2.70316333514,2.69598696662,2.69996982384,2.70243681173,2.70376358658,2.70049824293
2,2.63846849244,2.62782154882,2.62685852051,2.62287215924,2.62737308624,2.63099370628,2.63483415275,2.63384737942,2.64254607947,2.63709338097,2.63495480312,2.63478857181,2.63551236434,2.63622309471,2.63556004505
3,2.61599403364,2.6075005527,2.60972212818,2.6068642551,2.60638899265,2.611370329,2.6178787206,2.61303682927,2.61395118586,2.61795976123,2.61504666459,2.61170545172,2.61835242068,2.61273232575,2.61011512536
4,2.60170793338,2.5901675411,2.59635933612,2.58968460939,2.584861796,2.59132404015,2.60110833158,2.59405547309,2.59384958295,2.59862869685,2.59738706297,2.58972682388,2.59780587775,2.58758028739,2.59081662525
5,2.59165662942,2.57536721534,2.57923524597,2.57017753255,2.5691990606,2.57227144476,2.57484639479,2.56992076473,2.5775040688,2.57397308003,2.57218879762,2.56916847205,2.57057569629,2.56710067212,2.56793321547
6,2.58499494695,2.55536295026,2.55814354157,2.55305883533,2.54778031704,2.5536783406,2.55915093145,2.55244050886,2.55324547887,2.55740819882,2.54469029297,2.54494188502,2.55282867713,2.53805393599,2.54536472995
7,2.5791599665,2.53794506426,2.54029919124,2.5271892005,2.52484950519,2.5245096918,2.53319410374,2.52325109081,2.52809148107,2.52704411536,2.51363878129,2.51682941881,2.5204311807,2.51117200799,2.51492195051
8,2.57061985018,2.51827671749,2.51000003859,2.49428519058,2.4884660437,2.49256332585,2.50234500521,2.48971177164,2.49068533734,2.48568980532,2.47877728005,2.48253642746,2.48865861877,2.47447584626,2.48237689665
9,2.5622800793,2.49249939232,2.48173396347,2.46230908668,2.4459763593,2.45079010432,2.46163241779,2.45128074891,2.44815031757,2.44276049601,2.43850550336,2.4352743797,2.44303719536,2.43110078932,2.4360430764
10,2.55774125115,2.46352407059,2.44116488988,2.41539994799,2.39782910766,2.3998208984,2.4199071015,2.40228476107,2.39903757153,2.39209961389,2.38515444633,2.38853074503,2.39774175597,2.37926993214,2.38778144686
11,2.54915907323,2.43130060102,2.3966602618,2.37409981329,2.34323791977,2.33797297126,2.36708612816,2.35386191926,2.34456402774,2.34097137524,2.33525975415,2.33149543747,2.34414052572,2.32814538544,2.32969071248
12,2.54176171945,2.3959892669,2.34744070084,2.31570933801,2.28812502577,2.28058731556,2.31029545895,2.29125597255,2.28829891174,2.27348442826,2.26819270353,2.27301775222,2.27988713968,2.27516009508,2.27879047462
13,2.53364113553,2.36161423511,2.29649359582,2.26049761188,2.22338246695,2.22188897993,2.25603037565,2.22930562483,2.22322267392,2.21701180684,2.20976259843,2.21162506791,2.22985902771,2.21264700421,2.21769040156
14,2.52761183801,2.32070758434,2.24777932513,2.2071607867,2.1626174733,2.16011935766,2.1995314291,2.1736576406,2.16998315585,2.16012694071,2.15299256158,2.1662971303,2.16814005922,2.15312457866,2.16439876264
15,2.518604343,2.28168523724,2.20464355382,2.15091418737,2.10412301066,2.09823451668,2.13867164099,2.11820598717,2.10578217993,2.09875132943,2.1044285694,2.09929507287,2.11449517563,2.09857964516,2.12353685951
16,2.51097202195,2.24875893923,2.15386637312,2.10174541533,2.05256438575,2.04371780646,2.0829435614,2.06710255394,2.04860059699,2.04945315801,2.04389354918,2.04852232852,2.06219450951,2.05174802431,2.06455888599
17,2.50413846558,2.21412385183,2.10758607985,2.05300799101,1.99807718087,1.99176354877,2.02858121757,2.00594215875,2.00006565837,1.99846538783,1.99402762009,1.99657897149,2.00773018618,2.00185584501,2.01661675399
18,2.49350754593,2.18340548705,2.06371161915,2.0040807501,1.94823901095,1.94025752388,1.98072469329,1.95044249394,1.95527509648,1.95367282503,1.93830503589,1.95031120663,1.96677567513,1.95144190879,1.97456793571
19,2.48712648086,2.15163054384,2.02468055132,1.96005373245,1.90178926774,1.89483151084,1.94471915143,1.90287833618,1.90553032671,1.89872881177,1.89853910106,1.8998468286,1.91051243462,1.90786532887,1.9347071538
20,2.47981316324,2.11300282226,1.97776950243,1.9093829644,1.85511723147,1.84577506878,1.88730619566,1.85726367567,1.86370590152,1.85812677237,1.85653542423,1.8580856218,1.87376721922,1.87517716259,1.88890348896
21,2.47391478647,2.08177558624,1.93887859441,1.87360217291,1.81047729118,1.80965578947,1.85067219333,1.82095468761,1.82501363128,1.8180587395,1.81713357837,1.825407283,1.83243549785,1.83162677483,1.8559116386
