Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
23,2.3916440100917047,1.794434215418845,1.4317217114937668,1.3499627617998775,1.3467019283528714,1.3560810538588977,1.401067208071224,1.4069985019704683,1.4181581677657322,1.4253514723141243,1.4337220066738765,1.4267084520371234,1.4419592487616617,1.4389091743146136,1.4609890795569715
24,2.3853400064137955,1.7642929899236544,1.4029244580369364,1.3321877165033824,1.3240346709591089,1.3371178498033618,1.3832842229157765,1.3844647914334074,1.3951001906543212,1.4045593473336178,1.410349778066495,1.4032925893499753,1.4181824811560209,1.4105694828137674,1.4337482255268166
25,2.3804858198829284,1.73230586286451,1.3836605383026517,1.315686002301848,1.3083051841056472,1.3196418773932534,1.357144990274983,1.368527351963064,1.3734302156183125,1.3860815269327276,1.3883808458944342,1.3858305536032023,1.397049072531403,1.3936598085966267,1.4089086834906852
26,2.374957034584691,1.704139094535119,1.3652342500954657,1.299492774037294,1.293533995266406,1.308254436391299,1.3372073110482605,1.3531314701330466,1.3584863522283233,1.3636001549504122,1.3703149018609024,1.3702809891814993,1.3808734826572606,1.379842596627324,1.3909237812182262
27,2.372040209751188,1.682392142726641,1.3442167051502916,1.2858257847788708,1.2819943161550826,1.2963348568462936,1.3279876166207019,1.3356411357394984,1.3444811705480935,1.3479933638204178,1.3542836659882527,1.3542724085635827,1.3628229443753352,1.3611375432196862,1.3733793705255748
28,2.363890900567511,1.66169247731485,1.3300977222813377,1.2759695246226532,1.2719715425047895,1.2851061293336212,1.3149273598528237,1.320555969014194,1.3278064781693566,1.333479401936855,1.3409104989960328,1.3402596004072385,1.3475738805239317,1.3471522559233702,1.358892171109309
29,2.360341543426649,1.6295370332530288,1.319701126531918,1.2676041321676286,1.2632002391095074,1.273587432063994,1.2992092460504225,1.3121016485443533,1.3199959696518493,1.3209511929429387,1.3247864313681486,1.3245963605325128,1.3351951367737818,1.3326950626946539,1.3432147275186486
30,2.3564088269044827,1.6101929455289858,1.3047579140517973,1.2583592981818557,1.2550752421131315,1.265422981293475,1.2884753582214061,1.299168480810572,1.305832324895972,1.3082679766960947,1.3140180592979889,1.3161211984906191,1.3237510438043563,1.3237235507027048,1.3304486857595736
31,2.349287285866017,1.5908810054452476,1.293673736261819,1.2526163284665939,1.2482441244466471,1.2611576865931027,1.2801959875839088,1.2878469594840796,1.296855063273989,1.2976361342838831,1.3030076685571352,1.304554242654827,1.3139983153734052,1.3124408363644542,1.3211527426414462
32,2.342637985746682,1.5696741396829297,1.2841619753446736,1.2432015438778765,1.2420781072075546,1.2512598389484844,1.272843329695909,1.2808280324675347,1.2873577473189213,1.293304619521112,1.2938378599099702,1.2941992831560882,1.3011643590301765,1.3051813235048388,1.3086128691138323
