Games before prediction,Accuracy,Euclidean Error
8,0.9441775014132279,0.6271340077348889
9,0.9459309133489462,0.6265672144194183
10,0.9461748633879782,0.6253022213716278
11,0.948329129886507,0.6224939049931857
12,0.9477377049180328,0.6219249843408021
13,0.950853825136612,0.6210724766735468
14,0.9529935851746258,0.6210544779222266
15,0.956371087928465,0.6193733884768158
