Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2.662727375710808,2.6501973630734916,2.6379848409871585,2.637894143019026,2.6287734016990756,2.6492758109921315,2.6267261600948277,2.630882457305825,2.649966250711272,2.652650168126305,2.6486679307605256,2.630995617538202,2.633086425749982,2.6273180500405733,2.633062946567005
2,2.5574105647902177,2.5464386688121246,2.545495792295112,2.5447933860087235,2.5419188021902888,2.5546061953560253,2.551326674547604,2.5472857397110737,2.5560894791455913,2.5535200490884535,2.5503748740003407,2.5391469359548213,2.542052602142584,2.5393694007331558,2.5327147907303305
3,2.5368154014060074,2.520406421633583,2.5229623734253073,2.5157261327009652,2.516750273749536,2.523078736711721,2.5224901653987777,2.5181286486120174,2.530810902252111,2.528706551156502,2.5176298841245983,2.509610380531109,2.5110574811403867,2.5010505660635527,2.5029930378484964
4,2.5215677741781293,2.4999473776756522,2.505349371304836,2.4963568857113905,2.4943838711704003,2.4982681039903984,2.496206758515284,2.4953842487491547,2.5077748344468827,2.4988800619469314,2.4985579475896174,2.488254229027266,2.4826483206670793,2.4791388355317663,2.473471267174077
5,2.5156912284981217,2.4791561436783423,2.4809715135873622,2.4725349788610593,2.470341712991456,2.476691939791695,2.4739268453962144,2.4687604128988716,2.4774340728772706,2.4733395191210494,2.4699623745430146,2.4607272364603165,2.4637781773238885,2.456799771616368,2.450952503227457
6,2.507523177839456,2.4583977371834234,2.460739245515238,2.447810389841534,2.445973183228729,2.4497271131296627,2.4489760271523253,2.4446817200040556,2.4563359146808215,2.449861545473407,2.451566730474948,2.4360068487790314,2.435149357123453,2.4279446054677494,2.4178697043287696
7,2.500787025117008,2.4393748307705794,2.438127986943694,2.4205405916749223,2.407208796111257,2.419631703955228,2.4205141600195788,2.4120457229718486,2.4203660078409905,2.4124334601105235,2.4198516874365468,2.409824296775712,2.40475389996513,2.4008543321995135,2.3860811182879926
8,2.4952583310875576,2.415288956438909,2.406444850515147,2.387056934913996,2.3728088659844584,2.3875887433036427,2.387699510482554,2.378044148481609,2.389013943394542,2.379580305108421,2.377581023055275,2.372439913611394,2.368056330602677,2.3629026061198752,2.3541626806184386
9,2.488866148240069,2.3851872476289397,2.3738625709569425,2.350043632255341,2.328722589239811,2.3438638859107845,2.354252715895001,2.3307798875485615,2.3480032829998443,2.3443069787438637,2.340777549442553,2.3334531125625477,2.3286258151882984,2.32480525970459,2.319032643577157
10,2.486319864012786,2.360245036731435,2.3261901593040806,2.301814471054445,2.2760784367809115,2.300463570923102,2.3101622124691605,2.28623362343168,2.2921920135372975,2.2949000169856766,2.2912980117577817,2.2873156804304857,2.274176676077921,2.2761485993536446,2.261521770371256
11,2.4790146885374558,2.332307085530571,2.2853180315790467,2.2513856161295966,2.2206265105575813,2.2440841940582774,2.259915140304283,2.22908514549172,2.248557763560604,2.2426544503249946,2.2389766404175657,2.233896000839272,2.226801338977501,2.223869684615422,2.2128889463836603
12,2.4780808196534716,2.302831752704141,2.2350763349957434,2.1900611305420745,2.1602492623819503,2.187977087302286,2.209939270281779,2.1726801283372557,2.1889751169761067,2.186185938133847,2.187604104958669,2.1846054835998996,2.1724839185495846,2.175394619748892,2.165056744050062
13,2.468908161413474,2.269741109594404,2.1885690692437056,2.135699319977425,2.1013006035273665,2.1267445458740486,2.151974419321981,2.1159401015505765,2.134707494466705,2.133104811786768,2.1312884509961534,2.1288621924714213,2.1129634932220958,2.1170278051511837,2.107290785310953
14,2.4603727207175385,2.238641570391768,2.129265068063133,2.0740235247285526,2.03357802092348,2.06009277359384,2.0951861829621525,2.0575325132067737,2.07779036934865,2.076919101998733,2.0701636290941083,2.0705735713506557,2.069933712130687,2.064697427176387,2.05534477074148
